date	band	freq	time	flux_density	flux_density_limit	dflux_density	date_unit	freq_unit	time_unit	flux_density_unit	dtime	time_frame	instrument	reference	polarisation	position_angle
2017-Dec-10-10:23-13:17	Q	90.5	5.18700	-0.07	0	0.01	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.3	-67.9
2017-Dec-10-10:23-13:17	U	90.5	5.18700	-0.069	0	0.02	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.3	-67.9
2017-Dec-10-10:23-13:17	I	92.4	5.18700	32.514	0	0.365	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.32	-78.1
2017-Dec-10-10:23-13:17	Q	92.4	5.18700	-0.094	0	0.026	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.32	-78.1
2017-Dec-10-10:23-13:17	U	92.4	5.18700	0.014	0	NaN	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.32	-78.1
2017-Dec-10-10:23-13:17	I	102.5	5.18700	31.172	0	0.399	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.35	-71.3
2017-Dec-10-10:23-13:17	Q	102.5	5.18700	-0.086	0	0.025	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.35	-71.3
2017-Dec-10-10:23-13:17	U	102.5	5.18700	-0.066	0	0.018	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.35	-71.3
2017-Dec-10-10:23-13:17	I	104.5	5.18700	30.898	0	0.412	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.31	-58.0
2017-Dec-10-10:23-13:17	Q	104.5	5.18700	-0.043	0	0.012	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.31	-58.0
2017-Dec-10-10:23-13:17	U	104.5	5.18700	-0.087	0	0.029	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0604166666666666	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.31	-58.0
2017-Dec-16-11:14-14:33	I	97.5	11.23100	15.705	0	0.09	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.27	NaN
2017-Dec-16-11:14-14:33	Q	97.5	11.23100	0.01	0	NaN	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.27	NaN
2017-Dec-16-11:14-14:33	U	97.5	11.23100	0.01	0	NaN	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.27	NaN
2017-Dec-16-11:14-14:33	I	90.5	11.23100	16.171	0	0.106	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.52	NaN
2017-Dec-16-11:14-14:33	Q	90.5	11.23100	0.02	0	NaN	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.52	NaN
2017-Dec-16-11:14-14:33	U	90.5	11.23100	0.02	0	NaN	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.52	NaN
2017-Dec-16-11:14-14:33	I	92.4	11.23100	16.054	0	0.11	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.52	NaN
2017-Dec-16-11:14-14:33	Q	92.4	11.23100	0.019	0	NaN	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.52	NaN
2017-Dec-16-11:14-14:33	U	92.4	11.23100	0.019	0	NaN	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.52	NaN
2017-Dec-16-11:14-14:33	I	102.5	11.23100	15.37	0	0.113	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.52	NaN
2017-Dec-16-11:14-14:33	Q	102.5	11.23100	0.019	0	NaN	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.52	NaN
2017-Dec-16-11:14-14:33	U	102.5	11.23100	0.019	0	NaN	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.52	NaN
2017-Dec-16-11:14-14:33	I	104.5	11.23100	15.206	0	0.111	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.54	NaN
2017-Dec-16-11:14-14:33	Q	104.5	11.23100	0.019	0	NaN	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.54	NaN
2017-Dec-16-11:14-14:33	U	104.5	11.23100	0.019	0	NaN	yyyy-mm-dd-hh:mm-hh:mm	GHz	days	milliJy	0.0690972222222222	observer	NaN	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	0.54	NaN
