date	time	integration	band	mag	mag_limit	dmag	date_unit	time_unit	mag_unit	dtime	instrument	reference
NaN	12.0294	8274	V	22.06	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	16.02859	6755	V	21.91	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	17.00046	4722	V	21.69	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	22.46861	14,167	V	22.38	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	27.06212	21,133	V	22.58	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	28.06602	26,389	V	22.63	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	36.42067	39 \times 52	K_{s}	19.57	1	NaN	NaN	days	unspecified	NaN	NOTCam	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	39.0176	12,866	V	22.15	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	39.99492	4722	V	21.81	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	41.55941	15,986	V	22.34	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	43.20449	18,806	V	22.59	0	0.42	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	48.26631	321	V	19.97	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	66.05102	25,285	V	22.57	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	67.04984	20,898	V	22.43	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	68.05573	23,533	V	22.52	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	71.02623	15,285	V	22.21	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	73.03895	13,933	V	22.13	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	74.01214	10,004	V	21.95	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
2005-Apr-16.4641	0.0025	NaN	I	18.82	0	0.11	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4659	0.0043	NaN	I	18.86	0	0.11	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4677	0.0061	NaN	I	19.16	0	0.13	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4696	0.008	NaN	I	19.35	0	0.23	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4692	0.0076	NaN	K_{s}	16.37	0	0.21	yyyy-month-deciday	days	Vega	NaN	Palomar 200 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4714	0.0098	NaN	I	19.01	0	0.12	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4731	0.0116	NaN	I	19.53	0	0.18	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4772	0.0156	NaN	z'	19.16	0	0.27	yyyy-month-deciday	days	AB	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4763	0.0147	NaN	K_{s}	16.64	0	0.2	yyyy-month-deciday	days	Vega	NaN	Palomar 200 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4833	0.0217	NaN	I	19.09	0	0.2	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4828	0.0212	NaN	K_{s}	16.79	0	0.2	yyyy-month-deciday	days	Vega	NaN	Palomar 200 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4880	0.0264	NaN	I	19.34	0	0.23	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4895	0.0279	NaN	K_{s}	16.89	0	0.24	yyyy-month-deciday	days	Vega	NaN	Palomar 200 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.4960	0.0344	NaN	K_{s}	16.99	0	0.25	yyyy-month-deciday	days	Vega	NaN	Palomar 200 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5026	0.041	NaN	K_{s}	16.98	0	0.29	yyyy-month-deciday	days	Vega	NaN	Palomar 200 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5089	0.0473	NaN	R	20.92	0	0.05	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5502	0.0886	NaN	R	21.18	0	0.12	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5543	0.0927	NaN	R	21.4	0	0.15	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5585	0.0969	NaN	R	21.16	0	0.08	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5626	0.101	NaN	R	21.43	0	0.11	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5669	0.1053	NaN	R	21.44	0	0.26	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5702	0.1086	NaN	R	21.39	0	0.16	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5744	0.1128	NaN	R	21.37	0	0.16	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5779	0.1163	NaN	R	21.18	0	0.17	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5816	0.12	NaN	R	21.35	0	0.16	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5850	0.1234	NaN	R	21.36	0	0.1	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5893	0.1277	NaN	R	21.44	0	0.27	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5924	0.1308	NaN	R	21.46	0	0.22	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.5975	0.1359	NaN	R	21.63	0	0.34	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.6092	0.1476	NaN	R	21.71	0	0.3	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-16.6187	0.1571	NaN	R	21.87	0	0.46	yyyy-month-deciday	days	Vega	NaN	ANU 2.3 m	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-17.3895	0.9279	NaN	R	22.62	0	0.3	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-17.4006	0.939	NaN	z'	20.38	1	NaN	yyyy-month-deciday	days	AB	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-17.4087	0.9467	NaN	I	22.05	0	0.3	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-18.2884	1.8264	NaN	R	23.46	1	NaN	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-18.4031	1.9411	NaN	I	22.83	1	NaN	yyyy-month-deciday	days	Vega	NaN	Palomar 60 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
2005-Apr-23.3511	6.8896	NaN	K_{s}	19.7	1	NaN	yyyy-month-deciday	days	Vega	NaN	Palomar 200 inch	https://ui.adsabs.harvard.edu/abs/2007ApJ...661..982S/abstract
