time	band	integration	mag	mag_limit	dmag	instrument	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	dtime	reference
0.41500	i'	NaN	22.33	0	0.06	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.41500	z'	NaN	22.07	0	0.07	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.43800	g'	NaN	22.76	0	0.03	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.43800	r'	NaN	22.48	0	0.04	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.43800	i'	NaN	22.32	0	0.07	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.43800	z'	NaN	22.17	0	0.08	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.45400	g'	NaN	22.8	0	0.11	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.45400	r'	NaN	22.55	0	0.08	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.45400	i'	NaN	22.3	0	0.11	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.45400	z'	NaN	22.16	0	0.18	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
1.39200	g'	NaN	23.9	0	0.04	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
1.39200	r'	NaN	23.63	0	0.06	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
1.39200	i'	NaN	23.34	0	0.07	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
1.39200	z'	NaN	23.24	0	0.14	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
1.39200	J	NaN	22.35	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
1.39200	H	NaN	21.82	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
1.39200	K_{s}	NaN	21.02	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2.40200	g'	NaN	24.73	0	0.1	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2.40200	r'	NaN	24.05	0	0.1	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2.40200	i'	NaN	23.79	0	0.14	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2.40200	z'	NaN	23.65	0	0.23	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2.40200	J	NaN	22.34	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2.40200	H	NaN	21.62	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2.40200	K_{s}	NaN	20.93	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
3.38700	g'	NaN	25.2	0	0.27	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
3.38700	r'	NaN	24.48	0	0.18	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
3.38700	i'	NaN	23.77	0	0.21	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
3.38700	z'	NaN	23.53	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
3.38700	J	NaN	22.3	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
3.38700	H	NaN	21.3	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
3.38700	K_{s}	NaN	20.94	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
6.40900	g'	NaN	25.05	0	0.4	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
6.40900	r'	NaN	24.33	0	0.22	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
6.40900	i'	NaN	24.28	0	0.29	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
6.40900	z'	NaN	24.05	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
6.40900	J	NaN	22.17	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
6.40900	H	NaN	21.46	1	NaN	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
