time	obs_wavelength	flux	instrument	integration	integration_unit	time_unit	wavelength_unit	flux_unit	redshift	dtime	time_frame	rest_wavelength	reference
0.293	5348.279992	6.766162e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4958.998601761706	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5350.869992	6.219452e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4961.400085303662	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5353.459992	6.757827e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4963.801568845619	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5356.049992	6.597146e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4966.203052387576	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5358.639992	6.895132e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4968.604535929532	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5361.229992	6.867547e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4971.006019471488	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5363.819992	6.920444e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4973.4075030134445	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5366.409992	6.555406e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4975.808986555401	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5368.999991	6.134711e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4978.210469170143	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5371.589991	6.787604e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4980.6119527121	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5374.179991	7.187016e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4983.013436254057	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5376.769991	7.072479e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4985.414919796013	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5379.359991	6.47073e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4987.81640333797	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5381.949991	6.64261e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4990.2178868799265	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
