time	instrument	band	freq	flux_density	dflux_density	time_unit	freq_unit	flux_density_unit	extinction_corrected	time_frame	mag	mag_limit	dmag	mag_unit	dtime
7.246	TNG	B	688000000000000.0	0.03348	0.000938	days	Hz	milliJy	False	observer	20.088036376696945	0	0.0304187741954338	AB	NaN
7.263	RdlMO_GTC	g'	646000000000000.0	0.04055	0.001136	days	Hz	milliJy	False	observer	19.880022853632063	0	0.0304166788805236	AB	NaN
7.27	RdlMO_GTC	r'	490000000000000.0	0.04446	0.001246	days	Hz	milliJy	False	observer	19.78007635409257	0	0.0304279647127447	AB	NaN
7.273	RdlMO_GTC	i'	403000000000000.0	0.04325	0.0008041	days	Hz	milliJy	False	observer	19.81003472049792	0	0.020185907103954	AB	NaN
7.276	RdlMO_GTC	z'	337000000000000.0	0.04831	0.0008981	days	Hz	milliJy	False	observer	19.6899074062837	0	0.0201842203579647	AB	NaN
8.206	LT	i'	403000000000000.0	0.04365	0.001223	days	Hz	milliJy	False	observer	19.800039379896027	0	0.0304205126785611	AB	NaN
8.206	LT	r'	490000000000000.0	0.05105	0.0034	days	Hz	milliJy	False	observer	19.630010633942675	0	0.0723115200034797	AB	NaN
8.206	LT	V	551000000000000.0	0.05355	0.01083	days	Hz	milliJy	False	observer	19.57810131208032	0	0.2195802632592071	AB	NaN
8.206	LT	g'	646000000000000.0	0.04325	0.002038	days	Hz	milliJy	False	observer	19.81003472049792	0	0.0511613961918397	AB	NaN
8.206	LT	B	688000000000000.0	0.03442	0.004378	days	Hz	milliJy	False	observer	20.057972835021147	0	0.1380985794430881	AB	NaN
8.216	LT	i'	403000000000000.0	0.04365	0.001223	days	Hz	milliJy	False	observer	19.800039379896027	0	0.0304205126785611	AB	NaN
8.216	LT	r'	490000000000000.0	0.05105	0.0034	days	Hz	milliJy	False	observer	19.630010633942675	0	0.0723115200034797	AB	NaN
8.216	LT	V	551000000000000.0	0.05355	0.01083	days	Hz	milliJy	False	observer	19.57810131208032	0	0.2195802632592071	AB	NaN
8.216	LT	g'	646000000000000.0	0.04365	0.002057	days	Hz	milliJy	False	observer	19.800039379896027	0	0.0511651631887164	AB	NaN
8.245	RdlMO_NOT	g'	646000000000000.0	0.04018	0.000747	days	Hz	milliJy	False	observer	19.88997516896942	0	0.0201852898196695	AB	NaN
8.253	RdlMO_NOT	r'	490000000000000.0	0.04831	0.0008981	days	Hz	milliJy	False	observer	19.6899074062837	0	0.0201842203579647	AB	NaN
8.261	RdlMO_NOT	i'	403000000000000.0	0.04571	0.0008498	days	Hz	milliJy	False	observer	19.749971946776675	0	0.0201850498097453	AB	NaN
8.271	RdlMO_NOT	z'	337000000000000.0	0.04786	0.001796	days	Hz	milliJy	False	observer	19.70006826430645	0	0.0407434647669369	AB	NaN
8.568	LCO_Swope	B	688000000000000.0	0.03287	0.004743	days	Hz	milliJy	False	observer	20.10800073979594	0	0.1566670769445636	AB	NaN
8.573	LCO_Swope	V	551000000000000.0	0.0533	0.006484	days	Hz	milliJy	False	observer	19.58318197743357	0	0.1320809296745161	AB	NaN
8.583	LCO_Swope	g'	646000000000000.0	0.03546	0.01304	days	Hz	milliJy	False	observer	20.02565317183776	0	0.3992667825732096	AB	NaN
8.656	UKIRT_WFCAM	J	241000000000000.0	0.06861	0.004166	days	Hz	milliJy	False	observer	19.30903145168397	0	0.0659259150127148	AB	NaN
8.677	UKIRT_WFCAM	H	185000000000000.0	0.06773	0.007637	days	Hz	milliJy	False	observer	19.32304731098409	0	0.1224238505202692	AB	NaN
8.71	UKIRT_WFCAM	K	137000000000000.0	0.0654	0.005196	days	Hz	milliJy	False	observer	19.36105562918933	0	0.0862612434239027	AB	NaN
8.746	FTS_2m	r'	490000000000000.0	0.04285	0.002854	days	Hz	milliJy	False	observer	19.82012293435196	0	0.0723148454697713	AB	NaN
8.761	FTS_2m	i'	403000000000000.0	0.03664	0.005043	days	Hz	milliJy	False	observer	19.99011133751047	0	0.1494368908459401	AB	NaN
9.251	RdlMO_NOT	g'	646000000000000.0	0.04169	0.002369	days	Hz	milliJy	False	observer	19.849920262184256	0	0.0616960678597267	AB	NaN
9.259	RdlMO_NOT	r'	490000000000000.0	0.05058	0.001417	days	Hz	milliJy	False	observer	19.64005293747904	0	0.0304169276817372	AB	NaN
9.27	RdlMO_NOT	i'	403000000000000.0	0.05297	0.001484	days	Hz	milliJy	False	observer	19.589925067661007	0	0.0304178313736277	AB	NaN
9.28	RdlMO_NOT	z'	337000000000000.0	0.04786	0.004137	days	Hz	milliJy	False	observer	19.70006826430645	0	0.0938506201229499	AB	NaN
9.296	MPG_GROND	H	184000000000000.0	0.04104	0.005648	days	Hz	milliJy	False	observer	19.8669816197406	0	0.1494210059569667	AB	NaN
9.296	MPG_GROND	J	238000000000000.0	0.04142	0.00358	days	Hz	milliJy	False	observer	19.856974763606416	0	0.0938419993489643	AB	NaN
9.296	MPG_GROND	z'	337000000000000.0	0.052	0.001457	days	Hz	milliJy	False	observer	19.609991640913	0	0.0304214932756268	AB	NaN
9.296	MPG_GROND	i'	403000000000000.0	0.04831	0.0008981	days	Hz	milliJy	False	observer	19.6899074062837	0	0.0201842203579647	AB	NaN
9.296	MPG_GROND	r'	490000000000000.0	0.04875	0.0009064	days	Hz	milliJy	False	observer	19.68006344991361	0	0.0201868983793388	AB	NaN
9.296	MPG_GROND	g'	646000000000000.0	0.0413	0.001157	days	Hz	milliJy	False	observer	19.860124870859	0	0.0304163871405606	AB	NaN
9.306	VLT	I	376000000000000.0	0.04048	0.0003745	days	Hz	milliJy	False	observer	19.881898740420645	0	0.0100446691868063	AB	NaN
9.306	VLT	R	467000000000000.0	0.0427	0.0003951	days	Hz	milliJy	False	observer	19.82393031243744	0	0.010046238278687	AB	NaN
9.306	VLT	V	551000000000000.0	0.05405	0.0005001	days	Hz	milliJy	False	observer	19.56801075427668	0	0.0100458219426371	AB	NaN
9.306	VLT	B	688000000000000.0	0.0266	0.0002461	days	Hz	milliJy	False	observer	20.337795908422333	0	0.0100451007515404	AB	NaN
10.2	LT	i'	403000000000000.0	0.04529	0.003463	days	Hz	milliJy	False	observer	19.75999419829261	0	0.0830184251949084	AB	NaN
10.2	LT	r'	490000000000000.0	0.05546	0.004793	days	Hz	milliJy	False	observer	19.54005033689539	0	0.09383219670764	AB	NaN
10.2	LT	V	551000000000000.0	0.06263	0.002952	days	Hz	milliJy	False	observer	19.40804397074673	0	0.0511750483226249	AB	NaN
10.2	LT	g'	646000000000000.0	0.03908	0.001842	days	Hz	milliJy	False	observer	19.92011361238316	0	0.0511751814013427	AB	NaN
10.21	LT	i'	403000000000000.0	0.04571	0.003495	days	Hz	milliJy	False	observer	19.749971946776675	0	0.0830157085020709	AB	NaN
10.21	LT	r'	490000000000000.0	0.05546	0.004793	days	Hz	milliJy	False	observer	19.54005033689539	0	0.09383219670764	AB	NaN
10.21	LT	V	551000000000000.0	0.06263	0.002952	days	Hz	milliJy	False	observer	19.40804397074673	0	0.0511750483226249	AB	NaN
10.21	LT	g'	646000000000000.0	0.03908	0.001842	days	Hz	milliJy	False	observer	19.92011361238316	0	0.0511751814013427	AB	NaN
10.31	MPG_GROND	J	238000000000000.0	0.04542	0.003024	days	Hz	milliJy	False	observer	19.75688217529072	0	0.0722867961952572	AB	NaN
10.31	MPG_GROND	z'	337000000000000.0	0.05152	0.001934	days	Hz	milliJy	False	observer	19.62006036412061	0	0.0407572558230245	AB	NaN
10.31	MPG_GROND	i'	403000000000000.0	0.05012	0.0009318	days	Hz	milliJy	False	observer	19.64997234419472	0	0.0201853351076142	AB	NaN
10.31	MPG_GROND	r'	490000000000000.0	0.05105	0.0009491	days	Hz	milliJy	False	observer	19.630010633942675	0	0.0201855481280301	AB	NaN
10.31	MPG_GROND	g'	646000000000000.0	0.04055	0.0007539	days	Hz	milliJy	False	observer	19.880022853632063	0	0.0201858575774883	AB	NaN
10.53	LCO_Swope	g'	646000000000000.0	0.03644	0.001511	days	Hz	milliJy	False	observer	19.9960540792476	0	0.0450205105760025	AB	NaN
10.53	LCO_Swope	u'	834000000000000.0	0.008387	0.002796	days	Hz	milliJy	False	observer	21.59098339245635	0	0.3619552198049039	AB	NaN
10.54	LCO_Swope	V	551000000000000.0	0.05512	0.003487	days	Hz	milliJy	False	observer	19.54672697775108	0	0.0686858154207474	AB	NaN
10.54	LCO_Swope	B	688000000000000.0	0.03363	0.002785	days	Hz	milliJy	False	observer	20.08318283171341	0	0.0899130339057802	AB	NaN
11.34	MPG_GROND	z'	337000000000000.0	0.04786	0.001341	days	Hz	milliJy	False	observer	19.70006826430645	0	0.0304214845503688	AB	NaN
11.34	MPG_GROND	i'	403000000000000.0	0.05058	0.001417	days	Hz	milliJy	False	observer	19.64005293747904	0	0.0304169276817372	AB	NaN
11.34	MPG_GROND	r'	490000000000000.0	0.05012	0.0009318	days	Hz	milliJy	False	observer	19.64997234419472	0	0.0201853351076142	AB	NaN
11.34	MPG_GROND	g'	646000000000000.0	0.03767	0.001414	days	Hz	milliJy	False	observer	19.96001094949183	0	0.0407547383469072	AB	NaN
12.21	TNG	I	376000000000000.0	0.04397	0.005139	days	Hz	milliJy	False	observer	19.79210883595073	0	0.1268955732602235	AB	NaN
