band	instrument	time	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	extinction	dtime	reference
R	Lulin	0.07829861111111111	600.0	21.26	0	0.17	0.0103	0.0016	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Lulin	0.08702083333333334	900.0	21.7	0	0.14	0.0068	0.0009	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
J	UKIRT	0.02725	180.0	18.27	0	0.08	0.0802	0.0059	days	seconds	AB	apparent	milliJy	observer	False	0.025	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Lulin	0.16411111111111112	1800.0	22.43	0	0.17	0.0035	0.0005	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
J	UKIRT	0.033916666666666664	180.0	18.56	0	0.09	0.0614	0.0051	days	seconds	AB	apparent	milliJy	observer	False	0.025	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kiso	0.035451388888888886	300.0	20.13	0	0.11	0.0292	0.0029	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kiso	0.04628472222222222	300.0	20.75	0	0.2	0.0165	0.003	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
H	UKIRT	0.030583333333333334	180.0	17.83	0	0.13	0.0766	0.0092	days	seconds	AB	apparent	milliJy	observer	False	0.016	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kiso	0.05686111111111111	300.0	20.9	0	0.23	0.0144	0.003	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kiso	0.07794444444444444	900.0	21.66	0	0.34	0.0071	0.0022	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
K	UKIRT	0.03733333333333333	180.0	17.26	0	0.18	0.0838	0.0139	days	seconds	AB	apparent	milliJy	observer	False	0.01	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Maidanak	0.245	55.0	22.45	0	0.32	0.0034	0.001	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
K	UKIRT	0.069375	900.0	18.3	0	0.18	0.0321	0.0053	days	seconds	AB	apparent	milliJy	observer	False	0.01	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	KPNO4-m	0.7201180555555555	300.0	23.37	0	0.2	0.0014	0.0003	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
