date	obs_wavelength	flux	sky_flux	redshift	instrument	date_unit	wavelength_unit	flux_unit
2020-02-08T05:52:18	5823.20	0.787673	2475.65	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5832.40	0.829368	2446.20	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5841.60	0.792141	2447.97	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5850.80	0.817034	2399.96	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5860.00	0.834069	2415.90	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5869.20	0.820455	2483.52	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5878.40	0.756980	2592.43	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5887.60	0.710907	3206.04	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5896.80	0.778495	3254.40	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5906.00	0.776765	2611.59	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5915.20	0.733702	2414.72	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5924.40	0.749042	2385.80	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5933.60	0.760846	2430.47	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5942.80	0.848162	2359.46	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5952.00	0.707705	2364.95	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5961.20	0.811382	2403.79	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5970.40	0.775595	2326.77	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5979.60	0.776730	2285.92	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5988.80	0.771471	2255.52	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
