time	obs_wavelength	flux	instrument	time_unit	wavelength_unit	flux_unit	redshift
3.7	4876.3	6.493000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4901.8	6.316000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4927.4	6.815000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4953.0	6.573000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4978.5	7.139000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5004.1	7.240000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5029.7	6.969000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5055.3	7.175000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5080.8	7.239000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5106.4	7.627000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5132.0	7.911000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5157.5	7.144000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5183.1	6.441000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5208.7	6.149000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5234.2	6.029000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5259.8	5.850000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5285.4	6.103000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5311.0	6.303000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5336.5	5.840000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5362.1	5.526000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5387.7	5.714000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5413.2	5.125000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5438.8	5.365000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5464.4	5.518000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	5490.0	5.283000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
