col1	col2	col3	col4	col5	col6	col7
68770.029	49.853	-37.903	2.867907e-01	6.302381e-02	-6.302381e-02	7
68898.599	66.709	-78.716	1.646977e-01	3.710007e-02	-3.710007e-02	7
69016.201	44.385	-50.893	2.523093e-01	5.662609e-02	-5.662609e-02	7
69107.876	47.988	-47.291	2.773370e-01	5.939288e-02	-5.939288e-02	7
69218.285	62.945	-62.422	1.908475e-01	4.304369e-02	-4.304369e-02	7
69344.528	77.080	-63.297	2.744090e-01	4.862074e-02	-4.862074e-02	7
73830.171	57.301	-65.559	2.072445e-01	4.664448e-02	-4.664448e-02	7
73944.132	53.663	-56.660	2.305924e-01	5.201282e-02	-5.201282e-02	7
74064.981	70.717	-67.186	1.826914e-01	4.120819e-02	-4.120819e-02	7
74187.220	38.742	-51.522	2.790990e-01	6.281676e-02	-6.281676e-02	7
74278.988	44.760	-53.026	2.587754e-01	5.798959e-02	-5.798959e-02	7
74375.010	84.134	-51.262	1.863927e-01	4.190567e-02	-4.190567e-02	7
74532.744	46.751	-73.601	2.206793e-01	4.825576e-02	-4.825576e-02	7
74760.209	107.628	-180.714	2.283760e-01	5.179995e-02	-5.179995e-02	7
74930.388	47.772	-62.550	2.290824e-01	5.133562e-02	-5.133562e-02	7
75039.583	51.406	-61.423	2.232857e-01	5.020013e-02	-5.020013e-02	7
75145.801	58.015	-54.811	2.457456e-01	5.260037e-02	-5.260037e-02	7
80287.798	50.654	-62.176	2.461512e-01	5.528016e-02	-5.528016e-02	7
80396.739	72.093	-58.288	2.141523e-01	4.814617e-02	-4.814617e-02	7
80551.305	80.504	-82.472	1.699426e-01	3.820687e-02	-3.820687e-02	7
80717.927	61.814	-86.118	1.867484e-01	4.207665e-02	-4.207665e-02	7
80875.188	110.146	-95.447	2.200730e-01	3.863892e-02	-3.863892e-02	7
86267.133	59.285	-38.501	2.735540e-01	5.993144e-02	-5.993144e-02	7
86438.969	103.078	-112.552	1.183795e-01	2.663639e-02	-2.663639e-02	7
86658.040	109.661	-115.993	1.987684e-01	3.371803e-02	-3.371803e-02	7
90127.153	120.795	-147.486	1.540609e-01	2.700222e-02	-2.700222e-02	7
95877.255	129.081	-149.229	1.666037e-01	2.967177e-02	-2.967177e-02	7
107418.621	136.682	-126.587	8.472506e-02	2.201388e-02	-2.201388e-02	7
107690.673	130.407	-135.369	1.108031e-01	2.496070e-02	-2.496070e-02	7
108068.413	239.078	-247.333	1.025044e-01	1.773345e-02	-1.773345e-02	7
113289.202	180.504	-195.591	1.202587e-01	2.145797e-02	-2.145797e-02	7
182825.242	362.327	-309.630	5.585662e-02	1.060204e-02	-1.060204e-02	7
188365.573	126.631	-149.175	8.141021e-02	2.107131e-02	-2.107131e-02	7
188680.546	155.162	-188.342	7.086668e-02	1.774907e-02	-1.774907e-02	7
189146.206	341.394	-310.498	5.591140e-02	1.148625e-02	-1.148625e-02	7
194245.619	165.763	-268.003	5.102679e-02	1.327279e-02	-1.327279e-02	7
194693.386	254.555	-282.004	5.329311e-02	1.232178e-02	-1.232178e-02	7
199996.924	153.385	-157.523	6.586368e-02	1.710823e-02	-1.710823e-02	7
200287.614	130.980	-137.304	7.738147e-02	1.999974e-02	-1.999974e-02	7
200577.936	239.323	-159.343	5.244473e-02	1.361581e-02	-1.361581e-02	7
200976.115	152.052	-158.857	6.734749e-02	1.757294e-02	-1.757294e-02	7
201455.754	331.819	-327.586	4.334861e-02	9.761703e-03	-9.761703e-03	7
205813.548	152.546	-110.723	7.053964e-02	1.828958e-02	-1.828958e-02	7
206047.885	123.810	-81.791	9.605263e-02	2.417868e-02	-2.417868e-02	7
206432.114	276.138	-260.419	5.251657e-02	1.108622e-02	-1.108622e-02	7
276097.739	4886.010	-674.747	3.336159e-02	8.701805e-03	-8.701805e-03	7
281404.479	268.785	-420.730	3.014900e-02	7.866180e-03	-7.866180e-03	7
282021.936	345.842	-348.673	3.375160e-02	8.258077e-03	-8.258077e-03	7
298495.808	30430.085	-11779.742	2.039838e-02	3.054598e-03	-3.054598e-03	7
380032.675	493.319	-855.608	1.765171e-02	4.370409e-03	-4.370409e-03	7
451683.782	4263.093	-3081.352	1.340114e-02	2.647378e-03	-2.647378e-03	7
502460.209	585.602	-778.369	1.475420e-02	3.910912e-03	-3.910912e-03	7
588968.948	839.201	-467.102	1.412411e-02	4.386006e-03	-3.640484e-03	7
