time	integration	band	mag	mag_limit	dmag	time_unit	integration_unit	mag_unnit	mag_type	extinction_corrected	dtime	time_frame	reference	Instrument	mag_unit	telescope	Unnamed: 11	teslescope
54.09	1.75	H	20.0	0	0.0	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
146.0	10	r'	15.41	0	0.02	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
168.2	10	r'	15.45	0	0.02	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
191.0	10	r'	15.58	0	0.02	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
422.0	10	r'	15.95	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
444.8	10	r'	16.02	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
468.8	10	r'	16.0	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
760.2	120	r'	16.16	0	0.01	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
1413.0	120	r'	16.32	0	0.01	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
1546.2	120	r'	16.34	0	0.01	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
2662.8	120	r'	16.52	0	0.01	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
2794.8	120	r'	16.53	0	0.02	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
2926.8	120	r'	16.55	0	0.02	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
4878.2	10	r'	16.74	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
4899.8	10	r'	16.71	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
4922.0	10	r'	16.72	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
5157.8	10	r'	16.76	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
5180.0	10	r'	16.82	0	0.06	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
5204.0	10	r'	16.77	0	0.06	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
5494.8	120	r'	16.83	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
6139.2	120	r'	16.88	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
6271.8	120	r'	16.91	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
7390.2	120	r'	17.0	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
7521.0	120	r'	16.99	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
7654.2	120	r'	16.99	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
77200.2	300	r'	19.25	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
77512.2	300	r'	19.27	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
77824.2	300	r'	19.29	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
78138.0	300	r'	19.3	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
78448.8	300	r'	19.27	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
78760.8	300	r'	19.34	0	0.04	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
88690.2	300	r'	19.5	0	0.04	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
89002.2	300	r'	19.44	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
89314.2	300	r'	19.45	0	0.04	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
89628.0	300	r'	19.53	0	0.08	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
162917.0	1800	r'	20.44	0	0.08	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
509520.0	1800	r'	20.8	0	0´	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
979.8	120	i'	16.17	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
1831.2	120	i'	16.35	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
1963.8	120	i'	16.37	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
3277.2	120	i'	16.54	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
3409.2	120	i'	16.54	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
3541.2	120	i'	16.57	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
5707.8	120	i'	16.78	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
6553.8	120	i'	16.85	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
6685.8	120	i'	16.86	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
8004.0	120	i'	16.98	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
8136.0	120	i'	17.0	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
8268.0	120	i'	17.01	0	0.03	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
75250.8	300	i'	19.09	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
75562.2	300	i'	19.12	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
75877.2	300	i'	19.08	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
76189.2	300	i'	19.12	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
76501.2	300	i'	19.05	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
76813.2	300	i'	19.11	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
165408.0	1800	i'	20.41	0	0.08	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
336499.0	1800	i'	21.25	0	0.15	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
511463.0	1800	i'	20.0	0	0	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
1200.0	120	z'	16.25	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
2242.8	120	z'	16.43	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
2374.8	120	z'	16.41	0	0.05	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
5925.0	120	z'	16.84	0	0.07	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
6976.2	120	z'	16.87	0	0.07	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
7108.2	120	z'	16.91	0	0.07	days	s	NaN	apparent	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2012ApJ...761...50T/abstract	LT	unspecified	NaN	NaN	NaN
