date	time	mag	mag_limit	dmag	dmag2	instrument	band	date_unit	time_frame	time_unit	mag_unit	extinction_corrected	dtime	reference
NaN	54.85300	21.57	0	0.07	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	5.00700	19.64	0	0.02	NaN	FTS	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	57.35800	21.64	0	0.07	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	7.08500	19.49	0	0.03	NaN	FTS	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	0.47900	20.04	0	0.01	NaN	GS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	7.95600	19.48	0	0.02	NaN	FTS	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	3.49700	19.44	0	0.01	NaN	GS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	8.93700	19.47	0	0.02	NaN	FTS	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	5.00200	19.14	0	0.02	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	9.97000	19.47	0	0.03	NaN	FTS	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	5.47500	19.12	0	0.01	NaN	GS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	16.99500	19.91	0	0.04	NaN	FTS	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	8.97200	19.04	0	0.01	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	17.89900	19.96	0	0.02	NaN	FTS	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	16.02800	19.12	0	0.03	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	19.00900	20.03	0	0.07	NaN	FTS	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	17.00500	19.18	0	0.02	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	23.03100	20.29	0	0.04	NaN	FTS	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	18.95800	19.27	0	0.05	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	25.93900	20.61	0	0.04	NaN	FTS	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	19.94000	19.34	0	0.02	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	35.42300	21.16	0	0.06	NaN	FTS	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	23.01300	19.55	0	0.03	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	0.46600	20.21	0	0.01	NaN	GS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	25.97700	19.59	0	0.05	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	1.46700	20.09	0	0.01	NaN	GS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	33.89200	20.26	0	0.08	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	2.02800	20.03	0	0.03	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	37.01400	20.63	0	0.08	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	2.46200	19.96	0	0.01	NaN	GS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	46.45600	20.85	0	0.07	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	2.89100	19.87	0	0.02	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	49.39300	20.99	0	0.06	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	3.49300	19.77	0	0.01	NaN	GS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	56.88700	21.2	0	0.09	NaN	FTS	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	5.00300	19.47	0	0.02	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	0.47000	19.91	0	0.11	NaN	GS	z	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	5.47100	19.46	0	0.01	NaN	GS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	3.49000	19.4	0	0.01	NaN	GS	z	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	7.89100	19.33	0	0.02	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
