Title: Revealing the Jet Structure of GRB030329 with High-Resolution 
       Multicolor Photometry  
Authors: Gorosabel J., Castro-Tirado A.J., Ramirez-Ruiz E., Granot J., Caon N., 
         Cairos L.M., Rubio-Herrera E., Guziy S., de Ugarte Postigo A., 
	 Jelinek M.
Table: Light-Curve Data for GRB 030329
================================================================================
Byte-by-byte Description of file: datafile1.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label      Explanations
--------------------------------------------------------------------------------
   1- 12 F12.7  d       MJD-start  Starting Modified Julian Date of observation
  14- 25 F12.7  d       MJD-end    Ending Modified Julian Date of observation
      27 A1     ---     Filt       Filter used in the observation
  29- 34 F6.3   mag     mag        Observed magnitude in Filt
  36- 40 F5.3   mag   e_mag        Error in mag
--------------------------------------------------------------------------------
2728.6150116 2728.6152431 V 15.509 0.010
2728.6155556 2728.6157870 R 15.187 0.023
2728.6160995 2728.6164468 B 15.876 0.013
2728.6167477 2728.6169792 V 15.515 0.009
2728.6172569 2728.6174884 R 15.191 0.023
2728.6177778 2728.6181250 B 15.886 0.013
2728.6185648 2728.6187963 V 15.529 0.010
2728.6191667 2728.6193981 R 15.211 0.023
2728.6196875 2728.6200347 B 15.892 0.013
2728.6208796 2728.6211111 R 15.205 0.023
2728.6214931 2728.6218403 B 15.897 0.013
2728.6221644 2728.6223958 V 15.548 0.014
2728.6228009 2728.6230324 R 15.208 0.023
2728.6233449 2728.6236921 B 15.908 0.014
2728.6239931 2728.6242245 V 15.541 0.010
2728.6245370 2728.6247685 R 15.226 0.023
2728.6251505 2728.6254977 B 15.912 0.014
2728.6257986 2728.6260301 V 15.549 0.011
2728.6263194 2728.6265509 R 15.228 0.024
2728.6269792 2728.6273264 B 15.919 0.013
2728.6277431 2728.6279745 V 15.559 0.010
2728.6283681 2728.6285995 R 15.227 0.023
2728.6289583 2728.6293056 B 15.921 0.013
2728.6296065 2728.6298380 V 15.563 0.011
2728.6302778 2728.6305093 R 15.236 0.024
2728.6308681 2728.6312153 B 15.933 0.014
2728.6315162 2728.6317477 V 15.567 0.010
2728.6322569 2728.6324884 R 15.239 0.024
