time	integration	band	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	dtime	instrument
1.01	536	J	17.38	0	0.42	400.08	54.92	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.04	1280	i	17.76	0	0.42	278.74	9.38	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.04	1280	r	17.9	0	0.42	243.8	9.3	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.04	536	y	17.41	0	0.42	382.43	51.77	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.04	536	Z	17.5	0	0.42	348.99	96.74	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.04	536	H	17.33	0	0.42	437.23	106.18	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.04	536	J	17.41	0	0.42	380.89	75.3	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.06	1280	i	17.78	0	0.42	271.33	9.76	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.06	1280	r	17.94	0	0.42	231.7	13.04	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.06	536	H	17.28	0	0.42	445.08	108.89	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.06	536	J	17.45	0	0.42	375.58	86.51	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.06	536	y	17.41	0	0.42	376.09	57.58	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.06	536	Z	17.58	0	0.42	317.29	72.73	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.83	1280	r	18.7	0	0.42	113.69	1.72	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.83	1280	i	18.53	0	0.42	132.35	3.46	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.83	536	H	18.05	0	0.43	219.71	76.44	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.83	536	J	18.23	0	0.43	173.86	53.15	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.83	536	y	18.08	0	0.42	192.81	23.85	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.83	536	Z	18.25	0	0.42	169.0	20.03	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.85	1280	r	18.7	0	0.42	110.99	1.53	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.85	1280	i	18.55	0	0.42	130.24	3.16	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.85	536	H	18.06	0	0.43	206.18	67.93	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.85	536	J	18.21	0	0.43	175.43	44.56	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.85	536	y	18.12	0	0.42	188.45	27.83	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.85	536	Z	18.34	0	0.42	158.21	15.76	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.87	1280	i	18.55	0	0.42	129.04	2.97	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.87	1280	r	18.72	0	0.42	110.25	1.77	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.87	536	y	18.11	0	0.42	185.62	27.8	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.87	536	Z	18.34	0	0.42	153.69	17.65	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.87	536	H	18.08	0	0.43	215.43	78.45	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.87	536	J	18.23	0	0.43	169.34	41.59	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.89	1280	i	18.57	0	0.42	125.75	1.9	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.89	1280	r	18.72	0	0.42	109.57	1.17	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.89	536	y	18.19	0	0.42	178.61	17.89	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.89	536	Z	18.35	0	0.42	157.04	13.47	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.89	536	H	18.06	0	0.43	219.76	61.3	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
1.89	536	J	18.34	0	0.42	163.73	28.56	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
