date	time	integration	band	mag	mag_limit	dmag	flux_density	dflux_density	date_unit	time_unit	time_frame	integration_unit	mag_unit	flux_density_unit	extinction_corrected	instrument	dtime	reference
	7.19	2640	r'	19.9	0	0.05				days	observer	seconds	AB		False	RATIR		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	7.19	720	r'	20.06	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	8.22	3920	r'	19.82	0	0.05				days	observer	seconds	AB		False	RATIR		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	9.87	130	r'	19.86	0	0.07				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	10.87	130	r'	19.69	0	0.07				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	11.25	660	r'	19.82	0	0.02				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	11.87	130	r'	19.73	0	0.07				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	12.18	660	r'	19.78	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	12.22	2880	r'	19.7	0	0.04				days	observer	seconds	AB		False	RATIR		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	12.87	130	r'	19.74	0	0.08				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	13.16	1280	r'	19.68	0	0.05				days	observer	seconds	AB		False	RATIR		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	13.87	130	r'	19.68	0	0.1				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	14.18	660	r'	19.7	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	14.18	3760	r'	19.68	0	0.07				days	observer	seconds	AB		False	RATIR		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	15.16	5280	r'	19.7	0	0.05				days	observer	seconds	AB		False	RATIR		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	15.17	660	r'	19.64	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	15.87	150	r'	19.8	0	0.07				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	16.17	660	r'	19.76	0	0.08				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	17.87	150	r'	19.83	0	0.03				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	19.87	150	r'	19.92	0	0.04				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	21.88	150	r'	20.0	0	0.03				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
