date	band	mag	mag_limit	dmag	date_unit	mag_unit	time	time_unit
2728.4737269-2728.4738426	R	14.771	0	0.022	MJD-MJD	Unspecified	0.48958718171296306	days
2728.4742477-2728.4744213	B	15.454	0	0.013	MJD-MJD	Unspecified	0.4901369270833333	days
2728.4749074-2728.4750231	V	15.103	0	0.009	MJD-MJD	Unspecified	0.4907676793981481	days
2728.4753125-2728.4754282	R	14.779	0	0.023	MJD-MJD	Unspecified	0.49117277777777785	days
2728.4757060-2728.4758796	B	15.454	0	0.013	MJD-MJD	Unspecified	0.4915952256944445	days
2728.4761458-2728.4762616	V	15.104	0	0.009	MJD-MJD	Unspecified	0.4920061284722223	days
2728.4769444-2728.4771181	B	15.465	0	0.013	MJD-MJD	Unspecified	0.4928336805555556	days
2728.4774074-2728.4775231	V	15.117	0	0.009	MJD-MJD	Unspecified	0.49326767939814814	days
2728.4778125-2728.4779282	R	14.784	0	0.022	MJD-MJD	Unspecified	0.4936727777777778	days
2728.4781944-2728.4783681	B	15.466	0	0.013	MJD-MJD	Unspecified	0.49408368055555557	days
2728.4786343-2728.4787500	V	15.115	0	0.009	MJD-MJD	Unspecified	0.49449458333333335	days
2728.4790509-2728.4791667	R	14.79	0	0.023	MJD-MJD	Unspecified	0.49491123263888886	days
2728.4794444-2728.4796181	B	15.468	0	0.013	MJD-MJD	Unspecified	0.49533368055555554	days
2728.4798958-2728.4800116	V	15.116	0	0.009	MJD-MJD	Unspecified	0.4957561284722222	days
2728.4802778-2728.4803935	R	14.801	0	0.023	MJD-MJD	Unspecified	0.4961380787037037	days
2728.4806713-2728.4808449	B	15.46	0	0.014	MJD-MJD	Unspecified	0.4965605266203705	days
2728.4811227-2728.4812384	V	15.121	0	0.009	MJD-MJD	Unspecified	0.4969829803240741	days
2728.4815162-2728.4816319	R	14.802	0	0.023	MJD-MJD	Unspecified	0.49737648148148156	days
2728.4819097-2728.4820833	B	15.477	0	0.013	MJD-MJD	Unspecified	0.4977989293981481	days
2728.4823958-2728.4825116	V	15.13	0	0.01	MJD-MJD	Unspecified	0.49825612847222217	days
2728.4828819-2728.4829977	R	14.809	0	0.023	MJD-MJD	Unspecified	0.4987422280092593	days
2728.4834259-2728.4835995	B	15.482	0	0.014	MJD-MJD	Unspecified	0.4993151331018519	days
2728.4839815-2728.4840972	V	15.141	0	0.01	MJD-MJD	Unspecified	0.49984178240740745	days
2728.4843866-2728.4845023	R	14.808	0	0.023	MJD-MJD	Unspecified	0.500246880787037	days
2728.4847801-2728.4849537	B	15.489	0	0.014	MJD-MJD	Unspecified	0.5006693344907409	days
2728.4852546-2728.4853704	V	15.14	0	0.011	MJD-MJD	Unspecified	0.5011149305555556	days
2728.4856829-2728.4857986	R	14.815	0	0.024	MJD-MJD	Unspecified	0.5015431828703705	days
2728.4862500-2728.4864236	B	15.495	0	0.014	MJD-MJD	Unspecified	0.5021392303240741	days
2728.4867014-2728.4868171	V	15.15	0	0.012	MJD-MJD	Unspecified	0.5025616782407407	days
2728.4871296-2728.4872454	R	14.81	0	0.024	MJD-MJD	Unspecified	0.5029899305555556	days
2728.4875347-2728.4877083	B	15.503	0	0.014	MJD-MJD	Unspecified	0.5034239293981482	days
2728.4880093-2728.4881250	V	15.149	0	0.011	MJD-MJD	Unspecified	0.5038695833333333	days
2728.4883912-2728.4885069	R	14.827	0	0.023	MJD-MJD	Unspecified	0.5042514814814816	days
2728.4887847-2728.4889583	B	15.488	0	0.014	MJD-MJD	Unspecified	0.5046739293981484	days
2728.4892361-2728.4893519	V	15.15	0	0.01	MJD-MJD	Unspecified	0.5050964293981481	days
2728.4896644-2728.4897801	R	14.827	0	0.023	MJD-MJD	Unspecified	0.505524681712963	days
2728.4901389-2728.4903125	B	15.502	0	0.014	MJD-MJD	Unspecified	0.5060281307870371	days
2728.4905903-2728.4907060	V	15.153	0	0.011	MJD-MJD	Unspecified	0.5064505787037037	days
2728.4909954-2728.4911111	R	14.833	0	0.024	MJD-MJD	Unspecified	0.5068556828703703	days
2728.4914120-2728.4915856	B	15.502	0	0.014	MJD-MJD	Unspecified	0.507301232638889	days
2728.4918519-2728.4919676	V	15.156	0	0.01	MJD-MJD	Unspecified	0.5077121817129631	days
2728.4922454-2728.4923611	R	14.832	0	0.024	MJD-MJD	Unspecified	0.5081056828703703	days
2728.4926505-2728.4928241	B	15.511	0	0.013	MJD-MJD	Unspecified	0.5085397280092592	days
2728.4931366-2728.4932523	V	15.168	0	0.012	MJD-MJD	Unspecified	0.5089968807870371	days
2728.4935764-2728.4936921	R	14.833	0	0.023	MJD-MJD	Unspecified	0.5094366782407409	days
2728.4940162-2728.4941898	B	15.517	0	0.014	MJD-MJD	Unspecified	0.5099054340277778	days
2728.4944792-2728.4945949	V	15.166	0	0.01	MJD-MJD	Unspecified	0.5103394791666667	days
2728.4948727-2728.4949884	R	14.84	0	0.023	MJD-MJD	Unspecified	0.5107329803240741	days
2728.4952894-2728.4954630	B	15.516	0	0.016	MJD-MJD	Unspecified	0.5111786284722224	days
2728.4957523-2728.4958681	V	15.173	0	0.013	MJD-MJD	Unspecified	0.5116126331018518	days
2728.4961343-2728.4962500	R	14.847	0	0.025	MJD-MJD	Unspecified	0.5119945833333335	days
2728.4965509-2728.4967245	B	15.522	0	0.014	MJD-MJD	Unspecified	0.512440133101852	days
2728.4969907-2728.4971065	V	15.172	0	0.012	MJD-MJD	Unspecified	0.5128510300925926	days
2728.4973958-2728.4975116	R	14.846	0	0.027	MJD-MJD	Unspecified	0.5132561284722224	days
2728.4978241-2728.4979977	B	15.525	0	0.018	MJD-MJD	Unspecified	0.5137133275462964	days
2728.4983218-2728.4984375	V	15.173	0	0.013	MJD-MJD	Unspecified	0.5141820833333335	days
2728.4987963-2728.4989120	R	14.857	0	0.024	MJD-MJD	Unspecified	0.5146565798611111	days
2728.4991898-2728.4993634	B	15.52	0	0.014	MJD-MJD	Unspecified	0.515079033564815	days
2728.4996759-2728.4997917	V	15.181	0	0.013	MJD-MJD	Unspecified	0.515536232638889	days
2728.5000810-2728.5001968	R	14.848	0	0.026	MJD-MJD	Unspecified	0.5159413310185186	days
2728.5005787-2728.5007523	B	15.541	0	0.015	MJD-MJD	Unspecified	0.5164679340277778	days
2728.5010185-2728.5011343	V	15.184	0	0.014	MJD-MJD	Unspecified	0.5168788310185186	days
2728.5014236-2728.5015394	R	14.859	0	0.027	MJD-MJD	Unspecified	0.5172839293981482	days
2728.5018056-2728.5019792	B	15.53	0	0.015	MJD-MJD	Unspecified	0.517694832175926	days
2728.5022685-2728.5023843	V	15.182	0	0.01	MJD-MJD	Unspecified	0.5181288310185186	days
2728.5026736-2728.5027894	R	14.866	0	0.023	MJD-MJD	Unspecified	0.5185339293981481	days
2728.5030903-2728.5032639	B	15.534	0	0.014	MJD-MJD	Unspecified	0.5189795312500001	days
2728.5035301-2728.5036458	V	15.199	0	0.01	MJD-MJD	Unspecified	0.5193903819444445	days
